iter	Passed	Remaining
295	1294	3079
296	1297	3071
297	1302	3068
298	1305	3061
299	1309	3054
300	1312	3047
301	1315	3041
302	1319	3035
303	1322	3027
304	1325	3019
305	1328	3012
306	1331	3005
307	1334	2999
308	1337	2991
309	1340	2983
310	1344	2977
311	1346	2968
312	1350	2963
313	1352	2955
314	1355	2948
315	1358	2940
316	1361	2933
317	1365	2927
318	1368	2921
319	1371	2914
320	1374	2906
321	1377	2900
322	1381	2894
323	1384	2888
324	1387	2881
325	1390	2874
326	1393	2867
327	1397	2863
328	1400	2856
329	1403	2849
330	1406	2841
331	1409	2835
332	1412	2829
333	1416	2823
334	1418	2816
335	1421	2810
336	1424	2803
337	1427	2796
338	1430	2790
339	1433	2783
340	1436	2776
341	1439	2769
342	1443	2764
343	1447	2759
344	1450	2753
345	1453	2747
346	1456	2741
347	1461	2737
348	1464	2732
349	1468	2727
350	1471	2720
351	1474	2715
352	1478	2710
353	1482	2705
354	1485	2699
355	1488	2693
356	1495	2692
357	1498	2687
358	1502	2682
359	1505	2676
360	1510	2673
361	1516	2673
362	1520	2667
363	1523	2662
364	1535	2671
365	1538	2665
366	1543	2662
367	1546	2656
368	1550	2650
369	1553	2644
370	1558	2642
371	1562	2637
372	1566	2632
373	1569	2626
374	1573	2621
375	1576	2616
376	1579	2610
377	1583	2604
378	1586	2598
379	1590	2594
380	1593	2589
381	1596	2583
382	1599	2576
383	1602	2570
384	1606	2566
385	1609	2560
386	1613	2555
387	1615	2548
388	1619	2543
389	1623	2539
390	1627	2534
391	1630	2528
392	1633	2522
393	1637	2518
394	1640	2513
395	1645	2509
396	1648	2503
397	1651	2497
398	1655	2493
399	1658	2487
400	1661	2481
401	1664	2475
402	1667	2470
403	1671	2466
404	1675	2461
405	1678	2455
406	1681	2449
407	1685	2445
408	1688	2440
409	1692	2435
410	1695	2429
411	1698	2423
412	1702	2420
413	1705	2413
414	1708	2408
415	1711	2402
416	1714	2396
417	1718	2392
418	1722	2387
419	1725	2382
420	1728	2377
421	1731	2371
422	1736	2368
423	1739	2363
424	1742	2357
425	1745	2352
426	1750	2349
427	1754	2344
428	1757	2338
429	1760	2333
430	1763	2328
431	1767	2324
432	1771	2320
433	1777	2318
434	1787	2321
435	1794	2321
436	1803	2323
437	1810	2323
438	1818	2323
439	1825	2323
440	1832	2322
441	1839	2322
442	1846	2321
443	1852	2319
444	1857	2316
445	1863	2314
446	1867	2310
447	1871	2305
448	1875	2302
449	1879	2297
450	1882	2291
451	1885	2285
452	1888	2280
453	1892	2276
454	1896	2271
455	1899	2266
456	1902	2260
457	1907	2257
458	1911	2252
459	1914	2247
460	1917	2241
461	1919	2235
462	1924	2231
463	1927	2226
464	1930	2221
465	1933	2215
466	1936	2210
467	1940	2205
468	1943	2200
469	1946	2195
470	1949	2189
471	1952	2184
472	1957	2180
473	1960	2175
474	1963	2170
475	1966	2164
476	1969	2159
477	1973	2155
478	1976	2149
479	1979	2144
480	1982	2138
481	1985	2133
482	1989	2129
483	1992	2123
484	1995	2118
485	1997	2113
486	2000	2107
487	2004	2102
488	2007	2097
489	2010	2092
490	2012	2086
491	2016	2081
492	2019	2077
493	2022	2071
494	2025	2066
495	2028	2061
496	2031	2056
497	2035	2051
498	2038	2046
499	2041	2041
500	2044	2036
501	2047	2031
502	2051	2026
503	2053	2021
504	2056	2015
505	2059	2010
506	2062	2005
507	2065	2000
508	2069	1995
509	2072	1990
510	2074	1985
511	2077	1980
512	2080	1975
513	2084	1970
514	2087	1965
515	2090	1960
516	2093	1955
517	2096	1950
518	2100	1946
519	2103	1941
520	2106	1936
521	2108	1931
522	2111	1926
523	2115	1921
524	2118	1916
525	2121	1911
526	2123	1906
527	2126	1900
528	2130	1896
529	2134	1892
530	2137	1887
531	2140	1883
532	2143	1878
533	2146	1873
534	2149	1868
535	2153	1863
536	2155	1858
537	2159	1854
538	2162	1849
539	2166	1845
540	2168	1840
541	2171	1835
542	2174	1830
543	2177	1825
544	2181	1821
545	2184	1816
546	2186	1811
547	2190	1806
548	2193	1801
549	2196	1797
550	2199	1792
551	2202	1787
552	2205	1782
553	2208	1777
554	2211	1773
555	2214	1768
556	2217	1764
557	2220	1759
558	2223	1754
559	2226	1749
560	2230	1745
561	2233	1740
562	2235	1735
563	2238	1730
564	2241	1725
565	2245	1721
566	2248	1717
567	2251	1712
568	2253	1707
569	2256	1702
570	2260	1698
571	2262	1693
572	2265	1688
573	2268	1683
574	2271	1678
575	2274	1674
576	2277	1669
577	2280	1665
578	2283	1660
579	2286	1655
580	2289	1650
581	2292	1646
582	2295	1642
583	2298	1637
584	2301	1632
585	2304	1628
586	2307	1623
587	2310	1619
588	2313	1614
589	2316	1609
590	2319	1605
591	2322	1600
592	2325	1596
593	2328	1591
594	2331	1587
595	2334	1582
596	2337	1577
597	2341	1573
598	2344	1569
599	2347	1564
600	2349	1560
601	2352	1555
602	2355	1551
603	2359	1546
604	2362	1542
605	2365	1537
606	2367	1532
607	2370	1528
608	2374	1524
609	2376	1519
610	2379	1515
611	2382	1510
612	2385	1506
613	2388	1501
614	2392	1497
615	2395	1493
616	2398	1488
617	2401	1484
618	2404	1479
619	2418	1482
620	2424	1479
621	2429	1476
622	2434	1473
623	2439	1470
624	2444	1466
625	2449	1463
626	2455	1460
627	2460	1457
628	2464	1453
629	2468	1449
630	2472	1445
631	2475	1441
632	2479	1437
633	2482	1432
634	2485	1428
635	2489	1424
636	2491	1420
637	2494	1415
638	2497	1410
639	2500	1406
640	2503	1402
641	2506	1397
642	2509	1393
643	2512	1388
644	2515	1384
645	2518	1380
646	2521	1375
647	2523	1371
648	2526	1366
649	2529	1361
650	2532	1357
651	2536	1353
652	2538	1349
653	2541	1344
654	2544	1340
655	2547	1335
656	2550	1331
657	2554	1327
658	2556	1323
659	2559	1318
660	2562	1314
661	2565	1309
662	2568	1305
663	2571	1301
664	2574	1296
665	2576	1292
666	2579	1287
667	2583	1284
668	2586	1279
669	2588	1275
670	2591	1270
671	2594	1266
672	2597	1262
673	2600	1257
674	2603	1253
675	2606	1249
676	2609	1244
677	2612	1240
678	2615	1236
679	2618	1232
680	2621	1228
681	2624	1223
682	2627	1219
683	2630	1215
684	2633	1210
685	2636	1206
686	2639	1202
687	2641	1198
688	2644	1193
689	2647	1189
690	2650	1185
691	2653	1181
692	2656	1176
693	2658	1172
694	2661	1168
695	2664	1163
696	2667	1159
697	2670	1155
698	2673	1151
699	2675	1146
700	2679	1142
701	2682	1138
702	2685	1134
703	2688	1130
704	2691	1126
705	2694	1122
706	2697	1117
707	2700	1113
708	2703	1109
709	2706	1105
710	2708	1101
711	2712	1097
712	2715	1093
713	2718	1088
714	2721	1084
715	2724	1080
716	2727	1076
717	2730	1072
718	2733	1068
719	2736	1064
720	2738	1059
721	2741	1055
722	2744	1051
723	2747	1047
724	2750	1043
725	2753	1039
726	2756	1035
727	2759	1030
728	2762	1026
729	2764	1022
730	2767	1018
731	2770	1014
732	2773	1010
733	2776	1006
734	2779	1002
735	2782	998
736	2784	993
737	2787	989
738	2790	985
739	2793	981
740	2796	977
741	2799	973
742	2802	969
743	2805	965
744	2808	961
745	2811	957
746	2814	953
747	2817	949
748	2820	945
749	2823	941
750	2826	937
751	2828	932
752	2831	928
753	2834	924
754	2837	920
755	2840	916
756	2843	912
757	2846	908
758	2849	904
759	2851	900
760	2854	896
761	2857	892
762	2861	888
763	2864	884
764	2866	880
765	2869	876
766	2873	872
767	2875	868
768	2878	864
769	2881	860
770	2884	856
771	2887	852
772	2890	848
773	2893	844
774	2896	840
775	2898	836
776	2901	832
777	2905	828
778	2907	824
779	2910	820
780	2913	816
781	2916	812
782	2919	808
783	2922	805
784	2925	801
785	2928	797
786	2931	793
787	2933	789
788	2937	785
789	2940	781
790	2943	777
791	2946	773
792	2949	770
793	2953	766
794	2956	762
795	2959	758
796	2962	754
797	2965	750
798	2968	746
799	2971	742
800	2974	738
801	2977	735
802	2980	731
803	2982	727
804	2986	723
805	2989	719
806	2992	715
807	2995	711
808	2997	707
809	3000	703
810	3003	700
811	3006	696
812	3009	692
813	3012	688
814	3015	684
815	3018	680
816	3021	676
817	3024	672
818	3027	669
819	3030	665
820	3033	661
821	3036	657
822	3039	653
823	3042	649
824	3045	645
825	3047	642
826	3059	639
827	3064	636
828	3071	633
829	3077	630
830	3085	627
831	3091	624
832	3097	621
833	3103	617
834	3108	614
835	3112	610
836	3120	607
837	3134	605
838	3139	602
839	3144	599
840	3151	595
841	3156	592
842	3162	589
843	3167	585
844	3172	581
845	3177	578
846	3183	575
847	3189	571
848	3193	568
849	3198	564
850	3203	560
851	3206	557
852	3211	553
853	3215	549
854	3218	545
855	3222	542
856	3225	538
857	3228	534
858	3231	530
859	3234	526
860	3237	522
861	3239	518
862	3243	514
863	3246	510
864	3248	507
865	3251	503
866	3254	499
867	3256	495
868	3260	491
869	3262	487
870	3265	483
871	3268	479
872	3271	475
873	3274	472
874	3277	468
875	3280	464
876	3282	460
877	3285	456
878	3288	452
879	3292	448
880	3295	445
881	3298	441
882	3300	437
883	3303	433
884	3307	429
885	3310	425
886	3312	422
887	3315	418
888	3317	414
889	3320	410
890	3324	406
891	3326	402
892	3329	398
893	3332	395
894	3335	391
895	3338	387
896	3341	383
897	3344	379
898	3347	376
899	3349	372
900	3352	368
901	3355	364
902	3358	360
903	3361	356
904	3364	353
905	3367	349
906	3370	345
907	3373	341
908	3376	337
909	3379	334
910	3381	330
911	3384	326
912	3387	322
913	3390	319
914	3393	315
915	3395	311
916	3398	307
917	3401	303
918	3405	300
919	3407	296
920	3410	292
921	3413	288
922	3415	284
923	3418	281
924	3421	277
925	3424	273
926	3427	269
927	3430	266
928	3432	262
929	3435	258
930	3438	254
931	3441	251
932	3444	247
933	3447	243
934	3449	239
935	3453	236
936	3455	232
937	3458	228
938	3461	224
939	3464	221
940	3467	217
941	3470	213
942	3473	209
943	3476	206
944	3478	202
945	3481	198
946	3484	195
947	3487	191
948	3490	187
949	3493	183
950	3495	180
951	3498	176
952	3502	172
953	3504	169
954	3507	165
955	3510	161
956	3513	157
957	3516	154
958	3519	150
959	3521	146
960	3524	143
961	3527	139
962	3529	135
963	3533	131
964	3536	128
965	3539	124
966	3542	120
967	3545	117
968	3548	113
969	3550	109
970	3554	106
971	3556	102
972	3559	98
973	3562	95
974	3565	91
975	3568	87
976	3571	84
977	3573	80
978	3576	76
979	3579	73
980	3582	69
981	3585	65
982	3588	62
983	3591	58
984	3593	54
985	3596	51
986	3599	47
987	3602	43
988	3605	40
989	3608	36
990	3610	32
991	3614	29
992	3617	25
993	3619	21
994	3622	18
995	3625	14
996	3629	10
997	3632	7
998	3635	3
999	3638	0
